Currency_Pair,Date,Value
EURUSD,20140708,1.3612
EURUSD,20140709,1.3641
EURUSD,20140710,1.3608
EURUSD,20140711,1.3608
EURUSD,20140712,1.3605
EURUSD,20140713,1.3598
EURUSD,20140714,1.3619
EURUSD,20140715,1.3566
EURUSD,20140716,1.3524
EURUSD,20140717,1.3525
EURUSD,20140718,1.3523
EURUSD,20140719,1.3522
EURUSD,20140720,1.3526
EURUSD,20140721,1.3522
EURUSD,20140722,1.3468
EURUSD,20140723,1.3462
EURUSD,20140724,1.3463
EURUSD,20140725,1.3431
EURUSD,20140726,1.3434
EURUSD,20140727,1.3432
EURUSD,20140728,1.3431
EURUSD,20140729,1.3409
EURUSD,20140730,1.3392
EURUSD,20140731,1.3389
EURUSD,20140801,1.3422
EURUSD,20140802,1.343
EURUSD,20140803,1.3426
EURUSD,20140804,1.3421
EURUSD,20140805,1.3373
EURUSD,20140806,1.3379
EURUSD,20140807,1.3364
EURUSD,20140808,1.3412
EURUSD,20140809,1.341
EURUSD,20140810,1.3405
EURUSD,20140811,1.3384
EURUSD,20140812,1.3365
EURUSD,20140813,1.3362
EURUSD,20140814,1.3369
EURUSD,20140815,1.3397
EURUSD,20140816,1.3395
EURUSD,20140818,1.3363
EURUSD,20140819,1.3321
EURUSD,20140820,1.3261
EURUSD,20140821,1.328
EURUSD,20140822,1.3242
EURUSD,20140823,1.3241
EURUSD,20140824,1.3207
EURUSD,20140825,1.3193
EURUSD,20140826,1.3171
EURUSD,20140827,1.3194
EURUSD,20140828,1.3184
EURUSD,20140829,1.3139
EURUSD,20140830,1.3133
EURUSD,20140831,1.3128
EURUSD,20140901,1.313
EURUSD,20140902,1.3129
EURUSD,20140903,1.3147
EURUSD,20140904,1.2948
EURUSD,20140905,1.2951
EURUSD,20140906,1.2948
EURUSD,20140907,1.2945
EURUSD,20140908,1.2899
EURUSD,20140909,1.2949
EURUSD,20140910,1.2914
EURUSD,20140911,1.2917
EURUSD,20140912,1.2948
EURUSD,20140913,1.2961
EURUSD,20140914,1.2975
EURUSD,20140915,1.2939
EURUSD,20140916,1.2958
EURUSD,20140917,1.2875
EURUSD,20140918,1.2917
EURUSD,20140919,1.2837
EURUSD,20140920,1.2829
EURUSD,20140921,1.283
EURUSD,20140922,1.2849
EURUSD,20140923,1.2857
EURUSD,20140924,1.2783
EURUSD,20140925,1.2746
EURUSD,20140926,1.2683
EURUSD,20140927,1.2681
EURUSD,20140928,1.269
EURUSD,20140929,1.269
EURUSD,20140930,1.2629
EURUSD,20141001,1.2616
EURUSD,20141002,1.2663
EURUSD,20141003,1.2511
EURUSD,20141004,1.2512
EURUSD,20141005,1.2509
EURUSD,20141006,1.2644
EURUSD,20141007,1.2661
EURUSD,20141008,1.274
EURUSD,20141009,1.2686
EURUSD,20141010,1.2612
EURUSD,20141011,1.2627
EURUSD,20141012,1.2633
EURUSD,20141013,1.2689
EURUSD,20141014,1.2654
EURUSD,20141015,1.2807
EURUSD,20141016,1.2804
EURUSD,20141017,1.276
EURUSD,20141018,1.2758
EURUSD,20141019,1.2746
EURUSD,20141020,1.2804
EURUSD,20141021,1.2714
EURUSD,20141022,1.2644
EURUSD,20141023,1.2651
EURUSD,20141024,1.2667
EURUSD,20141025,1.2669
EURUSD,20141026,1.2675
EURUSD,20141027,1.2698
EURUSD,20141028,1.2734
EURUSD,20141029,1.2631
EURUSD,20141030,1.2613
EURUSD,20141031,1.2523
EURUSD,20141101,1.2524
EURUSD,20141103,1.24912
EURUSD,20141104,1.25448
EURUSD,20141105,1.24825
EURUSD,20141106,1.2522
EURUSD,20141107,1.2453
EURUSD,20141108,1.2454
EURUSD,20141110,1.24212
EURUSD,20141111,1.24755
EURUSD,20141112,1.24337
EURUSD,20141113,1.24777
EURUSD,20141114,1.25256
EURUSD,20141115,1.2522
EURUSD,20141116,1.2532
EURUSD,20141117,1.24497
EURUSD,20141118,1.25351
EURUSD,20141119,1.25424
EURUSD,20141120,1.25439
EURUSD,20141121,1.23913
EURUSD,20141122,1.239
EURUSD,20141124,1.24415
EURUSD,20141125,1.24769
EURUSD,20141126,1.2508
EURUSD,20141127,1.24657
EURUSD,20141128,1.24392
EURUSD,20141129,1.2451
EURUSD,20141130,1.24707
EURUSD,20141201,1.24714
EURUSD,20141202,1.238
EURUSD,20141203,1.23095
EURUSD,20141204,1.23821
EURUSD,20141205,1.22891
EURUSD,20141206,1.2285
EURUSD,20141207,1.228
EURUSD,20141208,1.23107
EURUSD,20141209,1.23717
EURUSD,20141210,1.24446
EURUSD,20141211,1.2388
EURUSD,20141212,1.24542
EURUSD,20141213,1.246
EURUSD,20141214,1.24768
EURUSD,20141215,1.24345
EURUSD,20141216,1.25147
EURUSD,20141217,1.23405
EURUSD,20141218,1.22854
EURUSD,20141219,1.22255
EURUSD,20141220,1.22255
EURUSD,20141221,1.2221
EURUSD,20141222,1.22263
EURUSD,20141223,1.21712
EURUSD,20141224,1.22028
EURUSD,20141225,1.22165
EURUSD,20141226,1.21777
EURUSD,20141227,1.21777
EURUSD,20141228,1.21765
EURUSD,20141229,1.21535
EURUSD,20141230,1.21543
EURUSD,20141231,1.21005
EURUSD,20150101,1.20965
EURUSD,20150102,1.20032
EURUSD,20150103,1.19965
EURUSD,20150104,1.2
EURUSD,20150105,1.19362
EURUSD,20150106,1.18983
EURUSD,20150107,1.1832
EURUSD,20150108,1.17881
EURUSD,20150109,1.1843
EURUSD,20150110,1.18359
EURUSD,20150111,1.18508
EURUSD,20150112,1.18365
EURUSD,20150113,1.1771
EURUSD,20150114,1.17886
EURUSD,20150115,1.16183
EURUSD,20150116,1.15687
EURUSD,20150117,1.15689
EURUSD,20150118,1.1542
EURUSD,20150119,1.16089
EURUSD,20150120,1.15509
EURUSD,20150121,1.15881
EURUSD,20150122,1.13604
EURUSD,20150123,1.12077
EURUSD,20150124,1.12031
EURUSD,20150125,1.11558
EURUSD,20150126,1.12623
EURUSD,20150127,1.13791
EURUSD,20150128,1.12891
EURUSD,20150129,1.13244
EURUSD,20150130,1.12994
EURUSD,20150131,1.12859
EURUSD,20150202,1.1335
EURUSD,20150203,1.14824
EURUSD,20150204,1.13905
EURUSD,20150205,1.1486
EURUSD,20150206,1.13199
EURUSD,20150207,1.13095
EURUSD,20150208,1.12949
EURUSD,20150209,1.13236
EURUSD,20150210,1.13158
EURUSD,20150211,1.12932
EURUSD,20150212,1.14103
EURUSD,20150213,1.13982
EURUSD,20150214,1.13775
EURUSD,20150215,1.14045
EURUSD,20150216,1.13461
EURUSD,20150217,1.14173
EURUSD,20150218,1.13995
EURUSD,20150219,1.13595
EURUSD,20150220,1.13769
EURUSD,20150221,1.13793
EURUSD,20150222,1.14008
EURUSD,20150223,1.13316
EURUSD,20150224,1.13424
EURUSD,20150225,1.13643
