PassengerId,Age,Fare,Parch,SibSp,female,male,Pclass1,Pclass1,Pclass3,Embarked_C,Embarked_Q,Embarked_S,Survived
1,-0.584222939116,-0.503255137144,0,1,0,1,0,0,1,0,0,1,0
2,0.628018518832,0.734765273319,0,1,1,0,1,0,0,1,0,0,1
3,-0.281162574629,-0.490204680943,0,0,1,0,0,0,1,0,0,1,1
4,0.400723245467,0.383209184072,0,1,1,0,1,0,0,0,0,1,1
5,0.400723245467,-0.487787929794,0,0,0,1,0,0,1,0,0,1,0
6,-0.129632392386,-0.479893853843,0,0,0,1,0,0,1,0,1,0,0
7,1.84025997678,0.359283347704,0,0,0,1,1,0,0,0,0,1,0
8,-2.09952476155,-0.235962460136,1,3,0,1,0,0,1,0,0,1,0
9,-0.205397483507,-0.428175379269,2,0,1,0,0,0,1,0,0,1,1
10,-1.19034366809,-0.062037580293,0,1,1,0,0,1,0,1,0,0,1
11,-1.94799457931,-0.320548750328,1,1,1,0,0,0,1,0,0,1,1
12,2.14332034127,-0.130108759838,0,0,1,0,1,0,0,0,0,1,1
13,-0.73575312136,-0.487787929794,0,0,0,1,0,0,1,0,0,1,0
14,0.703783609954,-0.0387555664302,5,1,0,1,0,0,1,0,0,1,0
15,-1.19034366809,-0.491573528793,0,0,1,0,0,0,1,0,0,1,0
16,1.9160250679,-0.334082556759,0,0,1,0,0,1,0,0,0,1,1
17,-2.09952476155,-0.0803236861819,1,4,0,1,0,0,1,0,1,0,0
18,0.249193063223,-0.392084584319,0,0,0,1,0,1,0,0,0,1,1
19,0.0976628809798,-0.295414538385,0,1,1,0,0,0,1,0,0,1,0
20,-0.281162574629,-0.503738487373,0,0,1,0,0,0,1,1,0,0,1
21,0.400723245467,-0.140742464891,0,0,0,1,0,1,0,0,0,1,0
22,0.324958154345,-0.392084584319,0,0,0,1,0,1,0,0,0,1,1
23,-1.11457857697,-0.488190077185,0,0,1,0,0,0,1,0,1,0,1
24,-0.129632392386,0.0429306223841,0,0,0,1,1,0,0,0,0,1,1
25,-1.64493421482,-0.235962460136,1,3,1,0,0,0,1,0,0,1,0
26,0.628018518832,-0.0365804903967,5,1,1,0,0,0,1,0,0,1,1
27,-0.129632392386,-0.503738487373,0,0,0,1,0,0,1,1,0,0,0
28,-0.811518212482,4.44141771239,2,3,0,1,1,0,0,0,0,1,0
29,-0.281162574629,-0.491090178563,0,0,1,0,0,0,1,0,1,0,1
30,-0.129632392386,-0.490769234011,0,0,0,1,0,0,1,0,0,1,0
31,0.779548701076,-0.107472501882,0,0,0,1,1,0,0,1,0,0,0
32,0.628018518832,2.18940778951,0,1,1,0,1,0,0,1,0,0,1
33,-0.281162574629,-0.49358813255,0,0,1,0,0,0,1,0,1,0,1
34,2.74944107024,-0.440419607287,0,0,0,1,0,1,0,0,0,1,0
35,-0.129632392386,0.945264298341,0,1,0,1,1,0,0,1,0,0,0
36,0.93107888332,0.361941773967,0,1,0,1,1,0,0,0,0,1,0
37,-0.129632392386,-0.503657284535,0,0,0,1,0,0,1,1,0,0,1
38,-0.659988030238,-0.487787929794,0,0,0,1,0,0,1,0,0,1,0
39,-0.887283303604,-0.295414538385,0,2,1,0,0,0,1,0,0,1,0
40,-1.19034366809,-0.426079572673,0,1,1,0,0,0,1,1,0,0,1
41,0.779548701076,-0.460236966703,0,1,1,0,0,0,1,0,0,1,0
42,-0.205397483507,-0.237412510825,0,1,1,0,0,1,0,0,0,1,0
43,-0.129632392386,-0.490769234011,0,0,0,1,0,0,1,1,0,0,0
44,-2.02375967043,0.160465931033,2,1,1,0,0,1,0,1,0,0,1
45,-0.811518212482,-0.491090178563,0,0,1,0,0,0,1,0,1,0,1
46,-0.129632392386,-0.487787929794,0,0,0,1,0,0,1,0,0,1,0
47,-0.129632392386,-0.343749561352,0,1,0,1,0,0,1,0,1,0,0
48,-0.281162574629,-0.49358813255,0,0,1,0,0,0,1,0,1,0,1
49,-0.129632392386,-0.224280851785,0,2,0,1,0,0,1,1,0,0,0
50,-0.887283303604,-0.299281340223,0,1,1,0,0,0,1,0,0,1,0
51,-1.72069930594,0.123891785854,1,4,0,1,0,0,1,0,0,1,0
52,-0.659988030238,-0.492621432091,0,0,0,1,0,0,1,0,0,1,0
53,1.46143452117,0.84005635395,0,1,1,0,1,0,0,1,0,0,1
54,-0.0538673012638,-0.140742464891,0,1,1,0,0,1,0,0,0,1,1
55,2.67367597912,0.554879718444,1,0,0,1,1,0,0,1,0,0,0
56,0.93107888332,0.0429306223841,0,0,0,1,1,0,0,0,0,1,1
