,Age,Embarked,Fare,Parch,PassengerId,Pclass,Sex,SibSp,Survived
0,22.0,S,7.25,0,1,3,male,1,0.0
1,38.0,C,71.2833,0,2,1,female,1,1.0
2,26.0,S,7.925,0,3,3,female,0,1.0
3,35.0,S,53.1,0,4,1,female,1,1.0
4,35.0,S,8.05,0,5,3,male,0,0.0
5,28.0,Q,8.4583,0,6,3,male,0,0.0
6,54.0,S,51.8625,0,7,1,male,0,0.0
7,2.0,S,21.075,1,8,3,male,3,0.0
8,27.0,S,11.1333,2,9,3,female,0,1.0
9,14.0,C,30.0708,0,10,2,female,1,1.0
10,4.0,S,16.7,1,11,3,female,1,1.0
11,58.0,S,26.55,0,12,1,female,0,1.0
12,20.0,S,8.05,0,13,3,male,0,0.0
13,39.0,S,31.275,5,14,3,male,1,0.0
14,14.0,S,7.8542,0,15,3,female,0,0.0
15,55.0,S,16.0,0,16,2,female,0,1.0
16,2.0,Q,29.125,1,17,3,male,4,0.0
17,33.0,S,13.0,0,18,2,male,0,1.0
18,31.0,S,18.0,0,19,3,female,1,0.0
19,26.0,C,7.225,0,20,3,female,0,1.0
20,35.0,S,26.0,0,21,2,male,0,0.0
21,34.0,S,13.0,0,22,2,male,0,1.0
22,15.0,Q,8.0292,0,23,3,female,0,1.0
23,28.0,S,35.5,0,24,1,male,0,1.0
24,8.0,S,21.075,1,25,3,female,3,0.0
25,38.0,S,31.3875,5,26,3,female,1,1.0
26,28.0,C,7.225,0,27,3,male,0,0.0
27,19.0,S,263.0,2,28,1,male,3,0.0
28,26.0,Q,7.8792,0,29,3,female,0,1.0
29,28.0,S,7.8958,0,30,3,male,0,0.0
30,40.0,C,27.7208,0,31,1,male,0,0.0
31,38.0,C,146.5208,0,32,1,female,1,1.0
32,26.0,Q,7.75,0,33,3,female,0,1.0
33,66.0,S,10.5,0,34,2,male,0,0.0
34,28.0,C,82.1708,0,35,1,male,1,0.0
35,42.0,S,52.0,0,36,1,male,1,0.0
36,28.0,C,7.2292,0,37,3,male,0,1.0
37,21.0,S,8.05,0,38,3,male,0,0.0
38,18.0,S,18.0,0,39,3,female,2,0.0
39,14.0,C,11.2417,0,40,3,female,1,1.0
40,40.0,S,9.475,0,41,3,female,1,0.0
41,27.0,S,21.0,0,42,2,female,1,0.0
42,28.0,C,7.8958,0,43,3,male,0,0.0
